10/26/2018	10:04:28 AM
Time (s)	Voltage1 (kV)	Voltage2 (kV)	Current1 (uA)	Current2 (uA)	VoltDiv1 (V)	VoltDiv2 (V)
168.298514	-0.026973	0.984535	0.148227	-35.460500	-0.221422	-0.679717
168.335123	-0.026499	2.505343	0.097683	-46.331987	-0.240531	-1.308571
168.371069	-0.029816	3.683140	0.126114	-50.374842	-0.245426	-1.784711
168.407930	-0.026973	4.793188	0.104001	-53.921814	-0.251901	-2.188681
168.445189	-0.030290	5.826011	0.088206	-57.222424	-0.257744	-2.521111
168.481952	-0.028868	6.726178	0.091365	-59.613395	-0.259955	-2.773158
168.518847	-0.193769	7.465736	-0.016032	-62.026474	-0.267378	-2.972458
168.555798	-0.019391	8.103433	-0.053941	-64.180558	-0.277959	-3.134014
168.592386	-0.017022	8.619844	-0.060258	-65.393414	-0.278116	-3.244245
168.627971	-0.015600	9.016865	-0.069733	-66.773670	-0.280959	-3.332682
168.664125	-0.016074	9.346611	-0.069733	-67.951782	-0.282696	-3.407223
168.666551	-0.013705	9.592972	-0.063416	-68.381336	-0.281749	-3.450020
168.703374	-0.012283	9.774900	-0.063416	-69.069884	-0.284118	-3.488553
168.740084	-0.010862	9.931245	-0.069733	-69.745798	-0.284749	-3.524876
168.777945	-0.009914	10.042108	-0.069733	-69.771066	-0.282854	-3.539879
168.815078	-0.010862	10.117911	-0.066575	-70.127974	-0.284907	-3.555355
168.851652	-0.010388	10.192767	-0.069733	-70.554368	-0.285539	-3.575569
168.888687	-0.008966	10.240144	-0.082367	-70.393286	-0.283644	-3.578886
168.925836	-0.008966	10.269992	-0.063416	-70.623856	-0.284907	-3.585677
168.962590	-0.006597	10.310263	-0.082367	-70.920753	-0.285223	-3.598784
168.999413	-0.006597	10.332530	-0.072892	-70.664914	-0.283328	-3.596415
169.002150	-0.003280	10.339163	-0.072892	-70.832314	-0.284433	-3.598784
169.038415	-0.003280	10.364273	-0.063416	-71.100786	-0.285065	-3.608418
169.075116	-0.004228	10.374222	-0.069733	-70.803890	-0.283486	-3.603996
169.110985	-0.002806	10.369011	-0.060258	-70.923910	-0.284591	-3.603996
169.146389	-0.002806	10.388909	-0.066575	-71.182907	-0.285065	-3.612997
169.182773	-0.002332	10.393646	-0.069733	-70.841789	-0.282696	-3.606523
169.218855	-0.000437	10.383697	-0.063416	-70.974448	-0.283960	-3.606523
169.255768	0.000037	10.400279	-0.069733	-71.198699	-0.284591	-3.614577
169.292690	-0.000911	10.399332	-0.063416	-70.867059	-0.282380	-3.607786
169.329551	0.001458	10.392699	-0.069733	-70.983922	-0.283802	-3.607628
169.366170	0.000511	10.403122	-0.069733	-71.186066	-0.283960	-3.614261
169.367944	-0.000437	10.403122	-0.072892	-70.873377	-0.282223	-3.608260
169.403682	0.000985	10.395068	-0.066575	-71.002874	-0.283328	-3.608418
169.439935	0.000037	10.405965	-0.060258	-71.220808	-0.284276	-3.615524
169.476024	-0.001858	10.407386	-0.066575	-70.908120	-0.281749	-3.609365
169.512116	-0.001858	10.396015	-0.066575	-70.971289	-0.283012	-3.607470
